"VisR","Reference Term Curie","skos:narrower","skos:narrowMatch","skos:related","skos:relatedMatch","skos:closeMatch","skos:exactMatch","equivalent","skos:broadMatch","skos:broader","Mapped Term Curie","VisM","Mapped Vocabulary","Mapped Term","Mapped Term Depiction","Mapped Vocabulary Ordinal","rdfs:seeAlso","Reference Term"
"opm:","opm:Agent","-","-","-","-","-","skos:exactMatch","-","-","-","dcterms:Agent","dcterms:Agent","Dublin Core Terms","http://dublincore.org/documents/dcmi-terms/#classes-Agent","",4,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Agent","-","skos:narrowMatch","-","-","-","-","-","-","-","premis:Agent","premis:Agent","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#Agent","",5,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Agent","skos:narrower","-","-","-","-","-","-","-","-","swp:Authority","swp:Authority","Semantic Web Publishing Vocabulary","http://www.w3.org/2004/03/trix/swp-2/Authority","http://inference-web.org/w/images/3/3a/Swp-2.rdf.rdf.manual.graffle.pdf",8,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Account","-","-","-","-","-","-","-","skos:broadMatch","-","provenir:data","provenir:data","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#data","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#Account"
"opm:","opm:Account","skos:narrower","-","-","-","-","-","-","-","-","pmlj:NodeSet","pmlj:NodeSet","Proof Markup Language","http://inference-web.org/2.0/pml-justification.owl#NodeSet","http://inference-web.org/w/images/8/82/Pml-justification.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#Account"
"opm:","opm:Account","-","skos:narrowMatch","-","-","-","-","-","-","-","dcterms:ProvenanceStatement","dcterms:ProvenanceStatement","Dublin Core Terms","http://dublincore.org/documents/dcmi-terms/#classes-ProvenanceStatement","",4,"","http://openprovenance.org/ontology#Account"
"opm:","opm:Account","skos:narrower","-","-","-","-","-","-","-","-","pav:versionNumber","pav:versionNumber","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/versionNumber","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#Account"
"opm:","opm:Account","skos:narrower","-","-","-","-","-","-","-","-","swp:Warrant","swp:Warrant","Semantic Web Publishing Vocabulary","http://www.w3.org/2004/03/trix/swp-2/Warrant","http://inference-web.org/w/images/3/3a/Swp-2.rdf.rdf.manual.graffle.pdf",8,"","http://openprovenance.org/ontology#Account"
"opm:","opm:wasDerivedFrom","-","-","-","skos:relatedMatch","-","-","-","-","-","provenir:derives_from","provenir:derives_from","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#derives_from","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","skos:narrower","-","-","-","-","-","-","-","-","hprv:precededBy","hprv:precededBy","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#precededBy","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasDerivedFrom"
